hour_of_day,weather,ride_count,average_fare
1,snowy,1136,51.772288732394394
11,rainy,1133,52.49360988526037
6,sunny,1113,53.43911949685535
3,snowy,1106,52.86409584086793
11,snowy,1097,51.86536007292624
21,snowy,1097,52.7247675478577
14,sunny,1096,50.93887773722625
5,snowy,1090,52.99174311926604
0,rainy,1089,52.67480257116615
6,snowy,1087,52.50711131554742
2,snowy,1084,53.34200184501846
15,snowy,1083,52.31259464450592
4,snowy,1082,53.846312384473215
15,sunny,1081,52.99343200740055
20,snowy,1080,51.417453703703615
6,rainy,1079,52.44079703429099
16,snowy,1079,52.75031510658012
21,sunny,1077,53.67859795728873
7,snowy,1076,54.55498141263934
22,snowy,1074,52.45271880819369
5,rainy,1074,52.82896648044693
0,snowy,1071,50.28525676937448
1,rainy,1071,51.67894491129788
8,sunny,1069,51.18976613657621
11,sunny,1069,53.50194574368573
4,sunny,1069,52.15463049579038
20,rainy,1068,52.046086142322125
9,snowy,1066,51.881998123827394
10,snowy,1059,52.90694050991495
12,rainy,1058,52.22845935727791
7,sunny,1056,51.80792613636365
19,snowy,1054,52.12740986717264
17,sunny,1054,53.54166034155603
16,rainy,1054,53.33191650853891
17,snowy,1054,52.94323529411762
2,rainy,1051,53.95254995242621
23,rainy,1050,52.547819047619065
23,snowy,1050,51.89796190476189
21,rainy,1049,51.74586272640606
1,sunny,1047,52.561012416427864
16,sunny,1045,52.68891866028698
15,rainy,1044,53.42049808429118
18,sunny,1043,53.00809204218608
23,sunny,1043,53.01989453499512
22,sunny,1042,52.028205374280226
17,rainy,1037,52.509672131147475
9,sunny,1037,52.4393539054966
13,rainy,1036,52.80802123552115
0,sunny,1033,52.39338818973871
3,sunny,1032,51.018992248062
18,rainy,1032,51.28993217054273
4,rainy,1032,52.07955426356587
13,sunny,1026,52.08500000000003
14,rainy,1024,54.37487304687497
3,rainy,1024,52.43968749999994
5,sunny,1023,52.455024437927584
22,rainy,1022,52.90116438356165
19,sunny,1021,52.381870714985325
10,rainy,1020,54.10988235294112
8,snowy,1020,50.88874509803919
20,sunny,1019,50.51421000981351
18,snowy,1018,52.20668958742624
8,rainy,1018,53.1917878192535
7,rainy,1017,51.8887807276303
13,snowy,1017,53.7748574237955
10,sunny,1017,51.384139626352066
9,rainy,1017,52.812664700098345
12,sunny,1012,52.57980237154138
14,snowy,1011,51.88304648862511
2,sunny,1004,51.494123505976106
12,snowy,998,53.181713426853726
19,rainy,984,51.78423780487812
