weather,distance,ride_count,average_fare
rainy,1,11,64.44818181818181
rainy,1.01,10,37.497
rainy,1.02,14,59.748571428571424
rainy,1.03,18,53.029444444444444
rainy,1.04,12,51.45833333333332
rainy,1.05,8,47.056250000000006
rainy,1.06,18,52.02722222222222
rainy,1.07,12,55.98500000000001
rainy,1.08,10,54.215999999999994
rainy,1.09,5,54.66600000000001
rainy,1.1,15,71.94466666666666
rainy,1.11,16,42.433125
rainy,1.12,12,55.94416666666667
rainy,1.13,14,43.01857142857143
rainy,1.14,14,58.333571428571425
rainy,1.15,17,52.45764705882353
rainy,1.16,10,46.415000000000006
rainy,1.17,9,47.84777777777778
rainy,1.18,12,48.29916666666666
rainy,1.19,15,49.93933333333334
rainy,1.2,9,44.43111111111111
rainy,1.21,11,42.56090909090909
rainy,1.22,15,52.26266666666667
rainy,1.23,20,40.529
rainy,1.24,19,58.95105263157895
rainy,1.25,13,50.12846153846154
rainy,1.26,13,61.027692307692305
rainy,1.27,22,57.01636363636363
rainy,1.28,13,66.69615384615385
rainy,1.29,17,47.541176470588255
rainy,1.3,13,49.552307692307686
rainy,1.31,14,50.56785714285713
rainy,1.32,12,47.97916666666666
rainy,1.33,9,57.71111111111111
rainy,1.34,14,55.509285714285724
rainy,1.35,6,47.78
rainy,1.36,9,70.34777777777778
rainy,1.37,15,63.144000000000005
rainy,1.38,11,50.13818181818181
rainy,1.39,17,61.80235294117648
rainy,1.4,14,48.03785714285714
rainy,1.41,18,57.830000000000005
rainy,1.42,14,51.73214285714287
rainy,1.43,13,45.34615384615385
rainy,1.44,14,66.73
rainy,1.45,19,47.974736842105266
rainy,1.46,12,39.37499999999999
rainy,1.47,11,44.88727272727272
rainy,1.48,9,62.10444444444444
rainy,1.49,12,56.32999999999999
rainy,1.5,11,64.97909090909091
rainy,1.51,8,37.39125
rainy,1.52,11,56.093636363636364
rainy,1.53,18,58.77611111111111
rainy,1.54,13,58.29
rainy,1.55,17,54.85705882352941
rainy,1.56,15,75.772
rainy,1.57,18,54.02722222222222
rainy,1.58,16,48.355000000000004
rainy,1.59,9,56.79111111111112
rainy,1.6,13,50.82307692307692
rainy,1.61,12,59.19083333333333
rainy,1.62,16,65.4325
rainy,1.63,13,53.54538461538462
rainy,1.64,16,53.864999999999995
rainy,1.65,14,50.44285714285714
rainy,1.66,14,61.97714285714286
rainy,1.67,10,65.65400000000001
rainy,1.68,16,52.93
rainy,1.69,12,53.61333333333334
rainy,1.7,15,56.574666666666666
rainy,1.71,8,44.66750000000001
rainy,1.72,12,63.42250000000001
rainy,1.73,11,51.33727272727273
rainy,1.74,13,45.4476923076923
rainy,1.75,19,46.29157894736842
rainy,1.76,15,43.99133333333332
rainy,1.77,10,40.682
rainy,1.78,19,54.69157894736841
rainy,1.79,14,48.04357142857143
rainy,1.8,14,51.388571428571424
rainy,1.81,14,69.00142857142856
rainy,1.82,12,56.68
rainy,1.83,12,52.74
rainy,1.84,16,58.65750000000001
rainy,1.85,14,51.638571428571424
rainy,1.86,17,51.44588235294117
rainy,1.87,19,54.194736842105264
rainy,1.88,16,64.87749999999998
rainy,1.89,18,60.736666666666665
rainy,1.9,12,63.24833333333334
rainy,1.91,10,56.30400000000001
rainy,1.92,10,60.556999999999995
rainy,1.93,19,57.20105263157895
rainy,1.94,12,57.44333333333333
rainy,1.95,7,47.11714285714286
rainy,1.96,16,56.36437500000001
rainy,1.97,9,50.40111111111111
rainy,1.98,15,52.919333333333334
rainy,1.99,10,52.214999999999996
rainy,2,11,44.42272727272728
rainy,2.01,13,48.75692307692308
rainy,2.02,13,56.45461538461537
rainy,2.03,20,49.74000000000001
rainy,2.04,20,54.26650000000001
rainy,2.05,15,41.268666666666675
rainy,2.06,21,56.65666666666665
rainy,2.07,11,48.14000000000001
rainy,2.08,14,39.14714285714286
rainy,2.09,13,60.54384615384615
rainy,2.1,13,55.27153846153847
rainy,2.11,14,51.146428571428565
rainy,2.12,14,48.332857142857144
rainy,2.13,11,49.15454545454545
